2022/12/10 19:39:31 [crit] 23#23: *91 SSL_do_handshake() failed (SSL: error:1420918C:SSL routines:tls_early_post_process_client_hello:version too low) while SSL handshaking, client: 104.152.52.58, server: 0.0.0.0:443
2022/12/11 01:09:30 [crit] 23#23: *196 SSL_do_handshake() failed (SSL: error:1420918C:SSL routines:tls_early_post_process_client_hello:version too low) while SSL handshaking, client: 192.168.160.1, server: 0.0.0.0:443
2022/12/11 02:08:32 [crit] 23#23: *214 SSL_do_handshake() failed (SSL: error:1420918C:SSL routines:tls_early_post_process_client_hello:version too low) while SSL handshaking, client: 216.218.206.69, server: 0.0.0.0:443
2022/12/11 04:14:23 [crit] 23#23: *253 SSL_do_handshake() failed (SSL: error:1420918C:SSL routines:tls_early_post_process_client_hello:version too low) while SSL handshaking, client: 141.105.66.212, server: 0.0.0.0:443
2022/12/11 04:14:40 [crit] 23#23: *382 SSL_do_handshake() failed (SSL: error:1420918C:SSL routines:tls_early_post_process_client_hello:version too low) while SSL handshaking, client: 141.105.66.212, server: 0.0.0.0:443
2022/12/11 04:14:40 [crit] 23#23: *384 SSL_do_handshake() failed (SSL: error:14209102:SSL routines:tls_early_post_process_client_hello:unsupported protocol) while SSL handshaking, client: 141.105.66.212, server: 0.0.0.0:443
2022/12/11 04:14:50 [crit] 23#23: *390 SSL_do_handshake() failed (SSL: error:1420918C:SSL routines:tls_early_post_process_client_hello:version too low) while SSL handshaking, client: 141.105.66.212, server: 0.0.0.0:443
2022/12/11 04:14:50 [crit] 23#23: *398 SSL_do_handshake() failed (SSL: error:1420918C:SSL routines:tls_early_post_process_client_hello:version too low) while SSL handshaking, client: 141.105.66.212, server: 0.0.0.0:443
2022/12/11 04:14:50 [crit] 23#23: *403 SSL_do_handshake() failed (SSL: error:1420918C:SSL routines:tls_early_post_process_client_hello:version too low) while SSL handshaking, client: 141.105.66.212, server: 0.0.0.0:443
2022/12/11 04:14:50 [crit] 23#23: *407 SSL_do_handshake() failed (SSL: error:1420918C:SSL routines:tls_early_post_process_client_hello:version too low) while SSL handshaking, client: 141.105.66.212, server: 0.0.0.0:443
2022/12/11 04:14:51 [crit] 23#23: *410 SSL_do_handshake() failed (SSL: error:1420918C:SSL routines:tls_early_post_process_client_hello:version too low) while SSL handshaking, client: 141.105.66.212, server: 0.0.0.0:443
2022/12/11 04:14:54 [crit] 23#23: *411 SSL_do_handshake() failed (SSL: error:1420918C:SSL routines:tls_early_post_process_client_hello:version too low) while SSL handshaking, client: 141.105.66.212, server: 0.0.0.0:443
2022/12/11 04:14:54 [crit] 23#23: *412 SSL_do_handshake() failed (SSL: error:1420918C:SSL routines:tls_early_post_process_client_hello:version too low) while SSL handshaking, client: 141.105.66.212, server: 0.0.0.0:443
2022/12/11 04:14:54 [crit] 23#23: *413 SSL_do_handshake() failed (SSL: error:1420918C:SSL routines:tls_early_post_process_client_hello:version too low) while SSL handshaking, client: 141.105.66.212, server: 0.0.0.0:443
2022/12/11 05:53:43 [crit] 23#23: *462 SSL_do_handshake() failed (SSL: error:1420918C:SSL routines:tls_early_post_process_client_hello:version too low) while SSL handshaking, client: 34.226.203.45, server: 0.0.0.0:443
2022/12/11 05:53:43 [crit] 23#23: *463 SSL_do_handshake() failed (SSL: error:14209102:SSL routines:tls_early_post_process_client_hello:unsupported protocol) while SSL handshaking, client: 34.226.203.45, server: 0.0.0.0:443
2022/12/11 07:42:17 [crit] 23#23: *503 SSL_do_handshake() failed (SSL: error:1420918C:SSL routines:tls_early_post_process_client_hello:version too low) while SSL handshaking, client: 192.241.209.210, server: 0.0.0.0:443
2022/12/13 00:17:05 [crit] 23#23: *75 SSL_do_handshake() failed (SSL: error:1420918C:SSL routines:tls_early_post_process_client_hello:version too low) while SSL handshaking, client: 192.168.160.1, server: 0.0.0.0:443
2022/12/13 02:08:38 [crit] 23#23: *111 SSL_do_handshake() failed (SSL: error:1420918C:SSL routines:tls_early_post_process_client_hello:version too low) while SSL handshaking, client: 192.168.160.1, server: 0.0.0.0:443
